zone_name,center_latitude,center_longitude
Central_Jakarta_South,-6.242218588764045,106.83769280168538
Central_Jakarta_Core,-6.191873873569024,106.82447631026935
West_Jakarta_Kebon_Jeruk,-6.177226117647059,106.73268376029412
West_Jakarta_Grogol,-6.1597764166666655,106.77269464666665
East_Jakarta_Cakung,-6.204436410714286,106.9663346419643
South_Jakarta_Tebet,-6.233217515384615,106.87555189230768
Tangerang_Gading_Serpong,-6.223362250574712,106.63543829540228
South_Jakarta_Kemang,-6.282365882317072,106.80258046097559
North_Jakarta_PIK,-6.110968844329898,106.73049013195875
Tangerang_BSD,-6.27631624032258,106.65245581129032
East_Jakarta_Cibubur,-6.3641368613207545,106.88917009339623
Depok_Margonda,-6.377134784090909,106.81266905681818
Bekasi_Summarecon,-6.249433326229508,106.99718133606558
South_Jakarta_Kuningan,-6.226996021428572,106.82125918214284
South_Jakarta_Cilandak,-6.270229477777779,106.81411431666668
Tangerang_Karawaci,-6.189648194117646,106.61626630294118
East_Jakarta_Pulo_Gadung,-6.244594739999999,106.94316124
North_Jakarta_Kelapa_Gading,-6.18186093908046,106.9260865632184
South_Jakarta_Pondok_Indah,-6.281431184397163,106.76750960212767
North_Jakarta_Pluit,-6.153717577777777,106.80796737777779
West_Jakarta_Taman_Anggrek,-6.1795492,106.8024883
Bekasi_Galaxy,-6.319382855555555,106.98786713333332
Bekasi_Harapan_Indah,-6.1994598750000005,106.9136279875
North_Jakarta_Sunter,-6.171645387804878,106.85511223902438
Tangerang_Bintaro,-6.249676859999999,106.77869752
Depok_Cinere,-6.338390647619049,106.78205453333332
East_Jakarta_Rawamangun,-6.197260781818181,106.88015370909092
Tangerang_Alam_Sutera,-6.23385085,106.678964275
